Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN,Stock_#,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
2023,Honda,Ridgeline Black,New,"$53,915 ",5,292,Sonic Gray Pearl,Nh-877p/Black,All-wheel Drive,18–24,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FPYK3F81PB014892,H1397,4,5,4.8,4.8,4.2,5,5,CA,Dealer
2023,Honda,Odyssey Elite,New,"$50,915 ",4.7,436,Modern Steel Metallic,Nh-797m/Black,Front-wheel Drive,19–28,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNRL6H97PB032377,V32377,3,5,5,4,4,4,5,IL,Dealer
2023,Honda,Ridgeline RTL-E,New,"$48,005 ",5,1026,Radiant Red Metallic II,Black,All-wheel Drive,18–24,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FPYK3F76PB014586,2RD1183,10,5,4.8,4.8,4.2,5,5,IN,Dealer
2023,Honda,Ridgeline RTL-E,New,"$46,419 ",4.8,5,Sonic Gray Pearl,Black,All-wheel Drive,18–24,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FPYK3F70PB000702,23002,3,5,4.8,4.8,4.2,5,5,OK,Dealer
2023,Honda,Odyssey Touring,New,"$46,400 ",5,1026,Radiant Red Metallic II,Beige,Front-wheel Drive,19–28,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNRL6H81PB037422,2OD1323,10,5,5,4,4,4,5,IN,Dealer
2023,Honda,Odyssey Touring,New,"$46,400 ",4.7,178,Platinum White Pearl,Black,Front-wheel Drive,19–28,Gasoline,10 speed automatic,V6 Cylinder Engine,5FNRL6H81PB038022,23-0176,5,5,5,4,4,4,5,MO,Dealer
2023,Honda,Odyssey Touring,New,"$46,290 ",4.2,1578,Platinum White Pearl,Beige,Front-wheel Drive,19–28,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNRL6H84PB019559,223106,5,5,5,4,4,4,5,NJ,Dealer
2023,Honda,Odyssey Touring,New,"$46,139 ",4.4,5,Radiant Red Metallic II,Beige,Front-wheel Drive,19–28,Gasoline,10-SPEED A/T,V6 Cylinder Engine,5FNRL6H8XPB022305,23018,2,5,5,4,4,4,5,OK,Dealer
2023,Honda,Ridgeline RTL-E,New,"$46,025 ",4.2,1578,Obsidian Blue Pearl,Gray,All-wheel Drive,18–24,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,A104127400017,A104127400017,5,5,4.8,4.8,4.2,5,5,NJ,Dealer
2023,Honda,Odyssey Touring,New,"$45,895 ",4.4,663,Modern Steel Metallic,Black,Front-wheel Drive,19–28,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FNRL6H86PB025850,HCPB025850,5,5,5,4,4,4,5,VA,Dealer
2023,Honda,Ridgeline RTL-E,New,"$45,595 ",4.8,306,Platinum White Pearl,Bge Lth,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,V6 Cylinder Engine,5FPYK3F7XPB004837,237003,4,5,4.8,4.8,4.2,5,5,MI,Dealer
2023,Honda,Civic Type R Touring,New,"$44,845 ",5,14,Sonic Gray Pearl,Black/Red,Front-wheel Drive,22–28,Gasoline,6-SPEED M/T,4 Cylinder Engine,JHMFL5G47PX001119,H23118,2,5,5,5,5,5,5,WI,Dealer
2023,Honda,Ridgeline RTL,New,"$43,530 ",4.9,435,Gray,Black,All-wheel Drive,18–24,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FPYK3F56PB018331,H018331,6,5,4.8,4.8,4.2,5,5,MA,Dealer
